volunteer_id,skill,preferred_task,location,available_time,language,transport,task_history,rating_reliability,name
71,Rescue,Education,Surat,2hr am,English,Car,16,3.8,Rahul Nair
72,Food,Rescue,Surat,5hr pm,English,,48,3.93,Pooja Sharma
73,Food,Education,Navsari,6hr am,English,,4,2.96,Isha Singh
74,Medical,Medical,Ahmedabad,5hr pm,Gujarati,,35,2.61,Neha Sharma
75,Medical,Medical,Ahmedabad,8hr am,English,,15,4.14,Pooja Singh
76,Rescue,Rescue,Ahmedabad,6hr am,English,,13,2.83,Rahul Reddy
77,Food,Rescue,Vadodara,6hr am,English,Car,3,3.44,Isha Sharma
78,Education,Food,Navsari,6hr pm,English,Car,50,4.41,Pooja Joshi
79,Rescue,Rescue,Navsari,6hr pm,Gujarati,Bike,38,4.14,Anjali Nair
80,Education,Education,Surat,5hr pm,Gujarati,Car,22,4.9,Rahul Sharma
81,Food,Medical,Navsari,6hr am,Hindi,Bike,5,3.27,Amit Reddy
82,Rescue,Water,Navsari,7hr am,Hindi,Car,0,3.06,Priya Nair
83,Medical,Rescue,Ahmedabad,3hr am,Gujarati,Car,21,2.62,Rahul Verma
84,Education,Medical,Navsari,8hr pm,English,Bike,6,3.25,Amit Nair
85,Medical,Food,Ahmedabad,4hr am,English,Bike,30,3.75,Pooja Joshi
86,Education,Food,Vadodara,1hr pm,Gujarati,Bike,1,4.47,Vikram Verma
87,Education,Rescue,Rajkot,3hr pm,English,,12,4.73,Arjun Nair
88,Food,Water,Navsari,5hr pm,Hindi,Car,0,2.85,Isha Nair
89,Medical,Rescue,Vadodara,2hr am,Hindi,Car,44,3.17,Amit Nair
90,Medical,Food,Rajkot,3hr am,Gujarati,Car,34,2.55,Vikram Gupta
91,Food,Rescue,Rajkot,7hr am,English,Bike,11,3.76,Rahul Singh
92,Rescue,Education,Navsari,8hr am,Hindi,Car,13,4.43,Rahul Mehta
93,Food,Water,Vadodara,6hr am,Gujarati,Bike,22,2.74,Anjali Gupta
94,Education,Medical,Rajkot,3hr pm,Hindi,,28,4.73,Karan Reddy
95,Rescue,Food,Surat,5hr pm,English,,29,2.56,Sneha Verma
96,Food,Water,Ahmedabad,4hr pm,Hindi,Car,17,3.82,Priya Gupta
97,Rescue,Water,Rajkot,3hr pm,Gujarati,Bike,16,2.86,Isha Gupta
98,Food,Rescue,Ahmedabad,5hr pm,English,Bike,15,4.48,Pooja Sharma
99,Food,Food,Ahmedabad,7hr pm,Gujarati,Bike,43,3.47,Isha Sharma
100,Rescue,Medical,Navsari,6hr pm,Gujarati,Car,34,4.64,Rohit Verma
101,Medical,Water,Ahmedabad,2hr am,English,,31,4.1,Isha Reddy
102,Education,Medical,Vadodara,6hr pm,Hindi,Car,30,3.48,Neha Singh
103,Food,Education,Ahmedabad,4hr pm,English,Bike,26,4.33,Anjali Mehta
104,Water,Water,Surat,7hr pm,Hindi,,3,4.91,Karan Mehta
105,Education,Water,Rajkot,6hr am,English,,48,3.22,Amit Mehta
106,Education,Food,Surat,3hr am,Hindi,Bike,39,4.15,Anjali Patel
107,Water,Food,Rajkot,1hr am,Hindi,Car,7,4.91,Pooja Singh
108,Education,Food,Navsari,1hr am,Gujarati,,44,3.87,Rahul Joshi
109,Food,Rescue,Rajkot,4hr pm,Hindi,Car,38,4.0,Sneha Nair
110,Medical,Food,Navsari,8hr am,Hindi,Bike,17,2.96,Isha Verma
111,Education,Water,Vadodara,7hr pm,Gujarati,Car,20,2.83,Anjali Kumar
112,Water,Rescue,Vadodara,1hr pm,Gujarati,Bike,32,2.8,Rahul Reddy
113,Water,Education,Rajkot,7hr pm,Hindi,Bike,14,3.1,Priya Reddy
114,Medical,Rescue,Surat,6hr am,Hindi,Bike,50,4.76,Anjali Joshi
115,Education,Rescue,Rajkot,6hr pm,Gujarati,,38,3.93,Isha Singh
116,Rescue,Rescue,Ahmedabad,3hr am,English,,32,3.34,Sneha Gupta
117,Medical,Rescue,Navsari,1hr am,English,,17,4.78,Rohit Reddy
118,Medical,Food,Surat,5hr pm,English,Car,21,3.95,Priya Joshi
119,Rescue,Medical,Rajkot,3hr am,English,Car,25,3.12,Neha Mehta
120,Medical,Rescue,Rajkot,7hr pm,Hindi,Car,46,3.54,Priya Patel
121,Rescue,Water,Surat,4hr am,Gujarati,Bike,11,3.12,Isha Kumar
122,Rescue,Food,Navsari,2hr pm,Gujarati,,27,3.6,Amit Verma
123,Water,Rescue,Vadodara,1hr pm,English,Bike,23,4.26,Rohit Mehta
124,Rescue,Medical,Surat,3hr am,Hindi,Bike,41,4.24,Arjun Reddy
125,Food,Food,Navsari,8hr pm,Gujarati,,10,2.89,Priya Gupta
126,Medical,Medical,Vadodara,3hr pm,Hindi,,37,4.73,Amit Patel
127,Water,Food,Navsari,5hr pm,Gujarati,,4,2.91,Rohit Nair
128,Food,Medical,Surat,3hr pm,Gujarati,,31,3.87,Priya Mehta
129,Rescue,Water,Navsari,2hr pm,Gujarati,Car,22,2.61,Amit Kumar
130,Medical,Rescue,Surat,3hr pm,Hindi,,26,3.87,Priya Reddy
131,Medical,Education,Vadodara,8hr pm,English,Bike,25,2.56,Neha Sharma
132,Rescue,Education,Rajkot,7hr am,Gujarati,Car,20,4.35,Amit Singh
133,Water,Education,Surat,5hr pm,Hindi,Bike,45,4.9,Sneha Sharma
134,Water,Water,Rajkot,8hr am,Hindi,Car,3,3.72,Pooja Verma
135,Rescue,Food,Surat,8hr pm,Gujarati,Car,19,2.65,Neha Reddy
136,Water,Medical,Surat,5hr am,Gujarati,,13,3.52,Sneha Gupta
137,Rescue,Food,Surat,5hr pm,English,Car,12,2.59,Neha Kumar
138,Food,Water,Vadodara,6hr am,Gujarati,Car,17,3.18,Rahul Joshi
139,Medical,Medical,Surat,2hr pm,Hindi,Car,43,4.08,Vikram Gupta
140,Water,Water,Rajkot,1hr pm,Hindi,Car,43,4.79,Neha Verma
141,Medical,Education,Surat,8hr pm,English,Bike,9,3.03,Priya Reddy
142,Food,Medical,Navsari,4hr pm,English,Bike,12,3.6,Karan Verma
143,Medical,Education,Ahmedabad,7hr pm,Hindi,Bike,22,2.55,Priya Joshi
144,Water,Rescue,Navsari,2hr am,Hindi,,30,3.74,Isha Kumar
145,Education,Water,Ahmedabad,5hr pm,English,Car,23,4.87,Vikram Mehta
146,Medical,Education,Surat,4hr am,Hindi,Bike,33,4.33,Neha Patel
147,Education,Food,Rajkot,2hr pm,Hindi,Bike,25,3.58,Isha Gupta
148,Medical,Medical,Surat,1hr am,Gujarati,,6,3.49,Neha Gupta
149,Medical,Water,Rajkot,1hr pm,Hindi,Car,2,2.87,Rohit Kumar
150,Education,Water,Navsari,2hr pm,English,Bike,26,3.24,Vikram Joshi
151,Water,Medical,Surat,2hr am,Hindi,,38,3.97,Isha Sharma
152,Food,Rescue,Navsari,8hr am,Hindi,,1,3.21,Vikram Patel
153,Rescue,Food,Surat,6hr pm,Hindi,,0,3.43,Anjali Joshi
154,Food,Water,Rajkot,1hr pm,English,,12,3.06,Amit Sharma
155,Water,Education,Rajkot,7hr am,Hindi,,23,4.5,Arjun Gupta
156,Medical,Education,Surat,6hr am,English,Bike,1,2.93,Anjali Singh
157,Food,Education,Ahmedabad,5hr am,English,,42,4.16,Rahul Mehta
158,Food,Medical,Navsari,2hr am,Gujarati,Car,9,4.94,Isha Nair
159,Food,Water,Rajkot,6hr am,English,,25,3.61,Priya Joshi
160,Food,Rescue,Ahmedabad,3hr pm,English,Car,37,3.26,Pooja Verma
161,Rescue,Medical,Rajkot,3hr pm,Gujarati,Bike,2,3.79,Anjali Patel
162,Rescue,Food,Rajkot,1hr am,Gujarati,Bike,21,4.59,Karan Singh
163,Medical,Food,Navsari,6hr pm,English,,18,3.41,Pooja Reddy
164,Water,Water,Ahmedabad,8hr am,Hindi,Bike,3,3.97,Rahul Sharma
165,Medical,Medical,Vadodara,2hr am,English,,29,3.95,Karan Verma
166,Water,Rescue,Ahmedabad,2hr pm,English,Bike,16,3.51,Rahul Kumar
167,Water,Food,Navsari,5hr pm,Hindi,Car,22,4.43,Neha Gupta
168,Medical,Water,Rajkot,7hr pm,Hindi,Bike,2,4.86,Sneha Reddy
169,Education,Rescue,Navsari,6hr am,Hindi,,10,4.4,Rahul Singh
170,Rescue,Education,Vadodara,7hr pm,English,,39,4.93,Karan Verma
171,Food,Water,Navsari,1hr am,Hindi,Car,25,3.61,Vikram Singh
172,Education,Food,Rajkot,2hr pm,Hindi,Car,50,4.43,Rahul Nair
173,Education,Rescue,Rajkot,7hr pm,Gujarati,Bike,37,3.17,Rohit Kumar
174,Food,Education,Navsari,8hr pm,Hindi,Bike,31,4.79,Rohit Sharma
175,Water,Education,Rajkot,1hr pm,Gujarati,Bike,3,4.62,Sneha Reddy
176,Rescue,Education,Vadodara,8hr am,Gujarati,Car,42,3.13,Priya Patel
177,Education,Medical,Surat,4hr am,English,,17,4.05,Priya Gupta
178,Food,Water,Surat,4hr pm,English,,48,3.12,Karan Nair
179,Water,Rescue,Vadodara,4hr pm,Gujarati,Car,6,3.15,Isha Singh
180,Medical,Water,Rajkot,5hr am,Gujarati,,34,3.89,Karan Reddy
181,Rescue,Food,Vadodara,2hr am,Gujarati,Bike,2,4.34,Pooja Verma
182,Food,Education,Vadodara,3hr am,Hindi,Bike,26,3.75,Pooja Patel
183,Medical,Medical,Surat,5hr am,Gujarati,Car,37,4.67,Karan Gupta
184,Water,Education,Vadodara,6hr pm,English,Bike,11,3.01,Rohit Singh
185,Education,Rescue,Surat,8hr am,English,,27,2.81,Rahul Reddy
186,Medical,Rescue,Vadodara,1hr pm,Gujarati,Car,46,3.9,Priya Reddy
187,Water,Education,Vadodara,4hr am,Hindi,,19,4.48,Rohit Nair
188,Water,Water,Vadodara,8hr am,Gujarati,,22,4.95,Vikram Mehta
189,Water,Water,Navsari,3hr pm,Gujarati,,40,4.8,Priya Gupta
190,Education,Water,Rajkot,3hr am,Gujarati,,33,3.13,Sneha Joshi
191,Water,Water,Ahmedabad,6hr am,Gujarati,Car,40,4.48,Rahul Sharma
192,Medical,Rescue,Vadodara,5hr pm,English,Car,50,3.6,Rohit Patel
193,Medical,Medical,Navsari,7hr am,Hindi,Bike,37,3.18,Sneha Sharma
194,Rescue,Medical,Vadodara,3hr pm,Hindi,Car,20,4.88,Priya Joshi
195,Water,Rescue,Navsari,1hr pm,English,Bike,11,3.71,Anjali Nair
196,Medical,Water,Rajkot,7hr pm,Gujarati,Car,11,3.14,Isha Joshi
197,Education,Rescue,Vadodara,4hr am,Hindi,Car,0,3.93,Rahul Mehta
198,Medical,Medical,Rajkot,4hr pm,Hindi,Car,23,3.0,Rahul Kumar
199,Rescue,Rescue,Ahmedabad,7hr pm,Gujarati,Car,31,4.28,Rahul Reddy
200,Water,Education,Rajkot,7hr am,Hindi,Bike,8,3.76,Isha Verma
201,Medical,Medical,Surat,8hr am,English,Car,30,3.56,Pooja Singh
202,Water,Rescue,Vadodara,3hr am,Hindi,,1,3.11,Isha Nair
203,Medical,Water,Vadodara,4hr am,Gujarati,Car,11,3.41,Vikram Verma
204,Medical,Water,Surat,3hr pm,English,,50,4.79,Neha Patel
205,Food,Water,Rajkot,5hr am,English,Bike,27,2.56,Sneha Verma
206,Food,Rescue,Surat,4hr am,Gujarati,Car,42,4.48,Amit Reddy
207,Education,Water,Navsari,1hr am,English,,43,2.61,Anjali Sharma
208,Medical,Rescue,Surat,8hr am,English,,44,4.44,Anjali Gupta
209,Food,Education,Surat,5hr am,English,Bike,5,3.01,Sneha Joshi
210,Water,Education,Rajkot,1hr pm,English,Car,3,3.76,Anjali Kumar
211,Water,Education,Ahmedabad,1hr pm,Gujarati,Bike,34,4.14,Isha Reddy
212,Water,Medical,Ahmedabad,5hr pm,Hindi,Car,2,2.73,Rohit Joshi
213,Food,Medical,Ahmedabad,7hr pm,English,,8,4.34,Pooja Gupta
214,Rescue,Food,Rajkot,8hr pm,English,,15,2.71,Vikram Mehta
215,Water,Food,Ahmedabad,5hr am,English,,0,4.09,Priya Patel
216,Food,Water,Ahmedabad,8hr am,Gujarati,Car,37,4.67,Rahul Mehta
217,Rescue,Food,Navsari,2hr am,Gujarati,Bike,47,3.73,Rahul Nair
218,Food,Food,Ahmedabad,8hr am,English,,48,4.11,Priya Nair
219,Food,Rescue,Ahmedabad,1hr am,English,,9,2.7,Priya Gupta
220,Medical,Education,Ahmedabad,5hr pm,English,,38,2.92,Rohit Gupta
221,Education,Water,Rajkot,4hr pm,English,,10,4.0,Amit Reddy
222,Food,Food,Rajkot,4hr am,Gujarati,,29,4.56,Anjali Gupta
223,Education,Medical,Surat,6hr am,Hindi,Car,37,3.04,Arjun Gupta
224,Water,Education,Ahmedabad,5hr pm,Hindi,Car,5,3.65,Pooja Sharma
225,Medical,Water,Rajkot,2hr am,Hindi,Car,49,2.79,Rahul Gupta
226,Medical,Water,Vadodara,1hr pm,Gujarati,Bike,35,3.34,Anjali Sharma
227,Education,Food,Navsari,4hr am,Gujarati,,49,4.19,Arjun Patel
228,Rescue,Medical,Ahmedabad,7hr pm,English,Bike,9,3.13,Neha Sharma
229,Education,Water,Rajkot,7hr am,Hindi,,24,3.95,Arjun Singh
230,Water,Water,Navsari,2hr am,English,Bike,46,3.04,Rohit Joshi
231,Rescue,Rescue,Surat,6hr am,English,Car,50,3.65,Sneha Verma
232,Water,Medical,Ahmedabad,4hr pm,English,,12,4.37,Pooja Nair
233,Medical,Medical,Ahmedabad,2hr pm,Hindi,Bike,8,4.17,Rahul Kumar
234,Education,Water,Navsari,6hr am,Gujarati,Car,4,3.83,Vikram Nair
235,Education,Medical,Ahmedabad,4hr pm,English,Bike,28,3.17,Vikram Reddy
236,Education,Rescue,Rajkot,5hr am,Gujarati,Car,8,4.62,Anjali Nair
237,Rescue,Water,Surat,7hr pm,Hindi,Car,31,4.36,Priya Nair
238,Medical,Medical,Vadodara,7hr am,Hindi,Car,14,3.37,Anjali Kumar
239,Food,Food,Navsari,3hr pm,Hindi,,22,3.63,Neha Verma
240,Food,Food,Rajkot,4hr am,Hindi,Car,39,4.53,Pooja Mehta
241,Medical,Water,Surat,2hr am,English,Bike,31,4.61,Arjun Verma
242,Medical,Education,Rajkot,4hr am,Hindi,Car,16,4.58,Priya Verma
243,Food,Food,Rajkot,1hr pm,Gujarati,,5,4.17,Anjali Kumar
244,Medical,Medical,Rajkot,1hr pm,Gujarati,Bike,44,3.66,Priya Kumar
245,Medical,Rescue,Vadodara,4hr pm,English,Car,43,3.03,Amit Verma
246,Medical,Education,Rajkot,3hr pm,English,Bike,48,4.87,Rohit Sharma
247,Education,Food,Navsari,5hr pm,English,,2,2.96,Amit Joshi
248,Water,Medical,Vadodara,6hr pm,Hindi,Bike,35,3.72,Anjali Joshi
249,Education,Education,Vadodara,6hr pm,Hindi,,10,3.93,Sneha Patel
250,Education,Rescue,Navsari,5hr pm,English,Bike,31,3.94,Rohit Sharma
251,Education,Water,Rajkot,4hr am,Gujarati,,42,3.05,Karan Nair
252,Education,Water,Ahmedabad,4hr am,Gujarati,Bike,30,4.03,Arjun Kumar
253,Education,Water,Navsari,1hr pm,Hindi,Car,3,3.31,Amit Joshi
254,Education,Medical,Vadodara,7hr pm,Hindi,,31,3.88,Pooja Reddy
255,Education,Rescue,Ahmedabad,4hr pm,English,Car,30,4.64,Rahul Reddy
256,Rescue,Education,Vadodara,8hr am,Hindi,Car,31,2.7,Rahul Singh
257,Water,Medical,Rajkot,4hr am,Gujarati,Car,0,3.72,Sneha Gupta
258,Food,Rescue,Surat,1hr pm,Gujarati,,31,4.02,Neha Kumar
259,Rescue,Rescue,Rajkot,1hr pm,English,,20,2.95,Sneha Verma
260,Rescue,Water,Ahmedabad,2hr pm,Hindi,Bike,26,3.43,Arjun Kumar
261,Medical,Education,Surat,3hr am,English,Bike,5,4.95,Arjun Verma
262,Food,Rescue,Vadodara,2hr am,Hindi,,22,4.79,Amit Nair
263,Education,Water,Ahmedabad,4hr pm,English,Bike,5,3.76,Vikram Singh
264,Medical,Water,Surat,8hr am,Gujarati,Car,48,2.72,Vikram Mehta
265,Education,Food,Navsari,3hr am,Hindi,Car,11,4.64,Vikram Verma
266,Rescue,Water,Rajkot,4hr am,Gujarati,Car,36,2.84,Pooja Nair
267,Rescue,Water,Vadodara,8hr pm,Hindi,Bike,2,2.72,Karan Joshi
268,Water,Water,Ahmedabad,7hr am,Gujarati,Car,26,4.62,Pooja Verma
269,Medical,Water,Ahmedabad,5hr pm,Hindi,,6,4.91,Arjun Reddy
270,Food,Rescue,Surat,8hr am,Hindi,Bike,0,4.41,Vikram Reddy
271,Food,Water,Surat,3hr pm,Hindi,Bike,8,3.23,Isha Reddy
272,Rescue,Water,Surat,1hr pm,Gujarati,Car,38,3.98,Karan Patel
273,Medical,Medical,Rajkot,8hr am,Gujarati,Bike,44,4.42,Sneha Patel
274,Education,Medical,Surat,1hr pm,Hindi,,44,3.76,Amit Joshi
275,Rescue,Education,Navsari,3hr am,English,Car,3,4.14,Priya Sharma
276,Rescue,Education,Surat,8hr pm,English,Bike,12,2.82,Rahul Nair
277,Water,Education,Rajkot,7hr pm,English,Bike,29,3.88,Rahul Sharma
278,Education,Food,Ahmedabad,2hr am,Hindi,Car,49,3.73,Isha Kumar
279,Food,Food,Surat,4hr am,Gujarati,Bike,46,4.14,Pooja Gupta
280,Food,Food,Ahmedabad,2hr pm,Hindi,,5,3.61,Anjali Sharma
281,Medical,Water,Navsari,6hr am,Gujarati,Bike,41,3.24,Anjali Mehta
282,Food,Education,Navsari,1hr am,Hindi,Bike,10,4.43,Priya Patel
283,Medical,Medical,Ahmedabad,6hr am,English,,36,2.89,Vikram Singh
284,Food,Medical,Vadodara,1hr am,Gujarati,Bike,16,4.97,Priya Sharma
285,Rescue,Education,Vadodara,3hr pm,Gujarati,Car,18,2.71,Anjali Reddy
286,Rescue,Water,Surat,5hr am,English,Car,33,4.53,Amit Singh
287,Rescue,Rescue,Ahmedabad,5hr am,English,Bike,6,3.91,Arjun Sharma
288,Food,Medical,Navsari,2hr pm,Gujarati,,24,4.92,Rahul Patel
289,Water,Rescue,Surat,8hr am,English,Bike,9,4.7,Anjali Sharma
290,Education,Education,Vadodara,3hr pm,English,,8,2.86,Amit Kumar
291,Medical,Rescue,Rajkot,3hr am,Gujarati,Bike,11,3.68,Karan Verma
292,Water,Education,Surat,4hr am,English,Car,15,2.89,Rohit Patel
293,Education,Education,Ahmedabad,3hr am,Hindi,Bike,3,2.66,Rohit Gupta
294,Food,Rescue,Rajkot,3hr am,Gujarati,,40,3.25,Sneha Reddy
295,Food,Water,Vadodara,3hr am,Gujarati,Bike,15,2.65,Neha Reddy
296,Food,Rescue,Ahmedabad,1hr am,Hindi,Car,47,4.34,Priya Joshi
297,Education,Medical,Navsari,3hr am,Gujarati,,10,4.21,Isha Reddy
298,Rescue,Education,Surat,6hr pm,English,Bike,40,2.64,Amit Kumar
299,Water,Medical,Ahmedabad,1hr pm,Hindi,,45,3.22,Isha Sharma
300,Education,Food,Surat,1hr am,Hindi,,50,4.87,Karan Nair
301,Rescue,Water,Surat,2hr pm,Gujarati,,12,3.94,Pooja Kumar
302,Rescue,Medical,Navsari,1hr am,Gujarati,Bike,17,3.42,Anjali Joshi
303,Education,Rescue,Ahmedabad,2hr pm,Gujarati,Bike,49,4.7,Anjali Verma
304,Water,Education,Ahmedabad,4hr pm,Hindi,,32,4.24,Rohit Patel
305,Food,Medical,Ahmedabad,7hr am,English,Bike,32,2.99,Arjun Joshi
306,Water,Water,Vadodara,5hr am,Hindi,Bike,5,2.98,Rohit Gupta
307,Rescue,Water,Surat,7hr pm,Gujarati,Bike,40,4.85,Anjali Gupta
308,Education,Education,Navsari,7hr am,Gujarati,Bike,9,3.23,Rohit Kumar
309,Education,Medical,Ahmedabad,1hr pm,English,Car,0,4.63,Vikram Patel
310,Food,Rescue,Surat,8hr am,Gujarati,Bike,35,3.37,Karan Mehta
311,Rescue,Education,Vadodara,1hr am,Hindi,Bike,18,2.82,Isha Nair
312,Food,Medical,Surat,5hr am,English,,47,4.42,Sneha Singh
313,Food,Food,Rajkot,2hr pm,Gujarati,,37,2.55,Karan Kumar
314,Water,Education,Navsari,1hr am,Hindi,Bike,20,3.74,Neha Kumar
315,Water,Food,Surat,5hr am,Gujarati,,35,3.4,Neha Sharma
316,Education,Rescue,Surat,1hr pm,Hindi,Car,48,3.75,Neha Verma
317,Medical,Medical,Rajkot,4hr pm,Gujarati,,36,4.71,Rohit Patel
318,Rescue,Water,Vadodara,8hr am,Gujarati,Bike,29,4.14,Karan Nair
319,Medical,Rescue,Surat,6hr am,Hindi,,1,3.02,Rahul Singh
320,Water,Medical,Navsari,3hr am,Gujarati,Bike,9,3.76,Amit Sharma
321,Water,Water,Ahmedabad,8hr pm,English,Car,16,4.95,Amit Reddy
322,Medical,Water,Rajkot,6hr pm,Hindi,,40,4.97,Neha Nair
323,Food,Medical,Rajkot,2hr pm,Hindi,Bike,50,4.47,Arjun Mehta
324,Rescue,Water,Navsari,2hr am,English,Bike,11,4.05,Rohit Singh
325,Medical,Food,Ahmedabad,8hr pm,English,,38,3.82,Arjun Reddy
326,Education,Education,Surat,8hr pm,English,Bike,46,4.68,Anjali Kumar
327,Water,Education,Surat,2hr am,Gujarati,Car,50,3.85,Rohit Gupta
328,Medical,Education,Ahmedabad,8hr pm,Hindi,,25,4.63,Anjali Nair
329,Rescue,Education,Vadodara,8hr pm,Gujarati,,0,3.06,Amit Gupta
330,Education,Rescue,Vadodara,4hr am,English,Car,13,4.93,Karan Gupta
331,Medical,Education,Surat,2hr pm,Hindi,Bike,50,2.99,Rahul Joshi
332,Education,Medical,Vadodara,5hr pm,English,Car,11,3.05,Neha Reddy
333,Water,Rescue,Rajkot,2hr am,English,Car,13,3.64,Arjun Reddy
